frame,timestamp,shot_type,player_id,confidence,ball_x,ball_y,ball_speed,direction,player_side
336,13.44,SMASH,13,0.95,541.8,497.1,209.24,right,left_court
542,21.68,VOLLEY,12,0.95,813.9,442.7,190.64,right,right_court
3042,121.68,SMASH,59,0.95,974.4,439.6,206.25,up,right_court
4578,183.12,SMASH,97,0.95,814.2,446.6,77.79,right,right_court
5246,209.84,FOREHAND,116,0.95,794.3,456.3,187.29,left,right_court
5928,237.12,VOLLEY,131,0.95,865.5,506.2,212.23,right,right_court
6478,259.12,SMASH,137,0.95,1061.0,647.8,76.78,left,right_court
6516,260.64,SMASH,137,0.95,1004.6,654.6,110.13,left,right_court
6662,266.48,FOREHAND,143,0.903,808.6,669.2,16.13,right,right_court
6814,272.56,SMASH,146,0.95,783.7,647.2,18.75,up,right_court
6942,277.68,SMASH,144,0.95,887.2,621.3,170.45,right,right_court
7118,284.72,VOLLEY,144,0.95,1079.7,631.7,39.11,right,right_court
7354,294.16,SMASH,144,0.95,1063.6,615.5,120.57,left,right_court
7392,295.68,SMASH,144,0.95,942.9,595.5,253.64,left,right_court
7412,296.48,VOLLEY,144,0.95,918.0,582.8,77.4,right,right_court
7436,297.44,SMASH,144,0.95,868.6,528.4,242.64,left,right_court
7462,298.48,SMASH,144,0.95,940.7,550.4,276.14,left,right_court
7590,303.6,SMASH,144,0.95,1044.2,625.9,48.13,left,right_court
7610,304.4,SMASH,144,0.95,1036.0,610.1,64.47,left,right_court
7646,305.84,BACKHAND,144,0.95,1044.8,606.5,46.39,right,right_court
7672,306.88,BACKHAND,144,0.95,1058.6,624.0,56.47,right,right_court
7728,309.12,VOLLEY,144,0.95,1056.6,654.2,34.54,left,right_court
7766,310.64,SMASH,144,0.95,1039.2,649.0,48.42,left,right_court
7800,312.0,SMASH,144,0.95,984.9,640.4,93.42,left,right_court
8006,320.24,SMASH,144,0.95,783.4,667.1,36.21,up,right_court
8070,322.8,SMASH,144,0.95,795.3,561.5,125.97,up,right_court
8094,323.76,BACKHAND,144,0.758,833.8,615.5,10.34,left,right_court
